2012-09-23 22:41:57 startup archives install
2012-09-23 22:41:57 install base-files <none> 6.5ubuntu6
2012-09-23 22:41:57 status half-installed base-files 6.5ubuntu6
2012-09-23 22:41:57 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:57 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 install base-passwd <none> 3.5.24
2012-09-23 22:41:58 status half-installed base-passwd 3.5.24
2012-09-23 22:41:58 status unpacked base-passwd 3.5.24
2012-09-23 22:41:58 status unpacked base-passwd 3.5.24
2012-09-23 22:41:58 configure base-passwd 3.5.24 3.5.24
2012-09-23 22:41:58 status unpacked base-passwd 3.5.24
2012-09-23 22:41:58 status half-configured base-passwd 3.5.24
2012-09-23 22:41:58 status installed base-passwd 3.5.24
2012-09-23 22:41:58 configure base-files 6.5ubuntu6 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status unpacked base-files 6.5ubuntu6
2012-09-23 22:41:58 status half-configured base-files 6.5ubuntu6
2012-09-23 22:42:00 status installed base-files 6.5ubuntu6
2012-09-23 22:42:00 startup archives install
2012-09-23 22:42:01 upgrade dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2012-09-23 22:42:01 status half-configured dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status half-installed dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status half-installed dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 configure dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status unpacked dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status half-configured dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:01 status installed dpkg 1.16.1.2ubuntu7
2012-09-23 22:42:02 startup archives install
2012-09-23 22:42:02 install libc6 <none> 2.15-0ubuntu10
2012-09-23 22:42:02 status half-installed libc6 2.15-0ubuntu10
2012-09-23 22:42:03 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:03 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:03 configure libc6 2.15-0ubuntu10 2.15-0ubuntu10
2012-09-23 22:42:03 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:03 status unpacked libc6 2.15-0ubuntu10
2012-09-23 22:42:03 status half-configured libc6 2.15-0ubuntu10
2012-09-23 22:42:05 status installed libc6 2.15-0ubuntu10
2012-09-23 22:42:05 startup archives install
2012-09-23 22:42:06 install perl-base <none> 5.14.2-6ubuntu2
2012-09-23 22:42:06 status half-installed perl-base 5.14.2-6ubuntu2
2012-09-23 22:42:06 status unpacked perl-base 5.14.2-6ubuntu2
2012-09-23 22:42:06 status unpacked perl-base 5.14.2-6ubuntu2
2012-09-23 22:42:06 configure perl-base 5.14.2-6ubuntu2 5.14.2-6ubuntu2
2012-09-23 22:42:06 status unpacked perl-base 5.14.2-6ubuntu2
2012-09-23 22:42:06 status half-configured perl-base 5.14.2-6ubuntu2
2012-09-23 22:42:06 status installed perl-base 5.14.2-6ubuntu2
2012-09-23 22:42:07 startup archives install
2012-09-23 22:42:07 install mawk <none> 1.3.3-17
2012-09-23 22:42:07 status half-installed mawk 1.3.3-17
2012-09-23 22:42:07 status unpacked mawk 1.3.3-17
2012-09-23 22:42:07 status unpacked mawk 1.3.3-17
2012-09-23 22:42:07 configure mawk 1.3.3-17 1.3.3-17
2012-09-23 22:42:07 status unpacked mawk 1.3.3-17
2012-09-23 22:42:07 status half-configured mawk 1.3.3-17
2012-09-23 22:42:07 status installed mawk 1.3.3-17
2012-09-23 22:42:07 startup archives install
2012-09-23 22:42:07 install debconf <none> 1.5.42ubuntu1
2012-09-23 22:42:07 status half-installed debconf 1.5.42ubuntu1
2012-09-23 22:42:08 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:08 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:08 configure debconf 1.5.42ubuntu1 1.5.42ubuntu1
2012-09-23 22:42:08 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:08 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:08 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:08 status unpacked debconf 1.5.42ubuntu1
2012-09-23 22:42:08 status half-configured debconf 1.5.42ubuntu1
2012-09-23 22:42:14 status installed debconf 1.5.42ubuntu1
2012-09-23 22:42:15 startup archives unpack
2012-09-23 22:42:15 install adduser <none> 3.113ubuntu2
2012-09-23 22:42:15 status half-installed adduser 3.113ubuntu2
2012-09-23 22:42:15 status unpacked adduser 3.113ubuntu2
2012-09-23 22:42:15 status unpacked adduser 3.113ubuntu2
2012-09-23 22:42:16 upgrade base-files 6.5ubuntu6 6.5ubuntu6
2012-09-23 22:42:16 status half-configured base-files 6.5ubuntu6
2012-09-23 22:42:16 status unpacked base-files 6.5ubuntu6
2012-09-23 22:42:16 status half-installed base-files 6.5ubuntu6
2012-09-23 22:42:16 status half-installed base-files 6.5ubuntu6
2012-09-23 22:42:16 status unpacked base-files 6.5ubuntu6
2012-09-23 22:42:16 status unpacked base-files 6.5ubuntu6
2012-09-23 22:42:16 upgrade base-passwd 3.5.24 3.5.24
2012-09-23 22:42:16 status half-configured base-passwd 3.5.24
2012-09-23 22:42:16 status unpacked base-passwd 3.5.24
2012-09-23 22:42:16 status half-installed base-passwd 3.5.24
2012-09-23 22:42:16 status half-installed base-passwd 3.5.24
2012-09-23 22:42:16 status unpacked base-passwd 3.5.24
2012-09-23 22:42:16 status unpacked base-passwd 3.5.24
2012-09-23 22:42:16 install bash <none> 4.2-2ubuntu2
